Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Checked,Checked,Silk Blend,15038412,Beige
Printed,Ethnic Motifs,Silk Blend,12025068,Coral
Woven,Floral,Silk Blend,12889102,Grey
Woven,Floral,Silk Blend,12889110,Red
Woven,Ethnic Motifs,Art Silk,13008938,Orange
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Art Silk,10810240,Olive
Printed,Abstract Print,Art Silk,9720545,Orange
Checked,Checked,Silk Blend,15038412,Beige
Woven,Striped,Silk Blend,9266145,Black
Printed,Floral,Silk Blend,8475047,Multi-Colour
Solid,Solid,Cotton Silk,7689324,Red
Checked,Checked,Pure Cotton,6975602,Red
Woven,Abstract Print,Cotton Silk,11379828,Grey
Striped,Striped,Cotton Blend,12457292,Navy Blue
Printed,Floral,Art Silk,12016898,Sea Green
Embroidered,Floral,Pure Cotton,11275700,White
Striped,Leheriya,Poly Crepe,12025040,Blue
Embroidered,Ethnic Motifs,Silk Blend,12139988,White
Striped,Leheriya,Poly Crepe,12025044,Green
Embroidered,Floral,Net,13135208,Yellow
Woven,Paisley Print,Art Silk,13008816,Navy Blue
Solid,Solid,Poly Crepe,13152836,Black
Woven,Leheriya,Silk Blend,13067984,Burgundy
Embroidered,Floral,Cotton Blend,13181720,White
Woven,Ethnic Motifs,Silk Blend,13876072,Pink
Woven,Ethnic Motifs,Cotton Silk,13661706,Green
Striped,Striped,Cotton Silk,11379840,Maroon
Checked,Checked,Silk Blend,15038412,Beige
Woven,Abstract Print,Cotton Silk,11379856,Off-White
Embroidered,Ethnic Motifs,Pure Cotton,11716824,White
Woven,Floral,Cotton Silk,12638654,Black
Woven,Floral,Poly Chiffon,12957540,Black
Printed,Leheriya,Silk Blend,12967830,Multi-Colour
Woven,Floral,Art Silk,13008780,Green
Dyed,Bandhani,Silk Blend,13509222,Blue
Woven,Floral,Art Silk,13008872,Yellow
Printed,Bandhani,,1402301,Yellow
Printed,Bandhani,Art Silk,10355897,Multi-Colour
Printed,Geometric Print,Cotton Blend,10686356,Brown
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Silk Blend,8312621,Navy Blue
Woven,Ethnic Motifs,Silk Blend,7463492,Navy Blue
Embroidered,Ethnic Motifs,Organza,6177510,Black
Embroidered,Paisley Print,Poly Georgette,11275708,White
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Ethnic Motifs,Poly Chiffon,12831472,White
Printed,Quirky,Silk Blend,12496768,Peach
Printed,Floral,Silk Blend,12889046,Off-White
Woven,Floral,Silk Blend,13068034,Teal
Woven,Geometric Print,Silk Blend,13876058,Navy Blue
